No.,日本語,単語・表現,英語の説明
1599,さっと取り出す,whip out,pull out quickly
1600,危険な状況にある,on thin ice,in a risky situation
1601,待って,hang on,wait a moment
1602,頑張れ,hang in there,stay strong
1603,連続して,in a row,consecutively
1604,元気出して,chin up,stay cheerful
1605,しくじる,blow it,miss an opportunity by failing
1606,無視する態度,silent treatment,ignoring someone deliberately
1607,例えば,for instance,introduce an example
1608,好奇心から,out of curiosity,because I'm curious
1609,〜する傾向がある,tend to,have a habit
1610,うっかり忘れる,slip my mind,be forgotten
1611,遅かれ早かれ,sooner or later,at some point
1612,寝落ちする,fall asleep,drift off to sleep
1613,どうにか〜する,manage to,succeed in doing
1614,選ばない,opt out,choose not to participate
1615,ぶつかる,bump into,collide
1616,〜を目指す,aim for,set as a goal
1617,おそらく,chances are,say something is likely to be true
1618,〜とは対照的に,as opposed to,in contrast
1619,居心地のいい範囲,comfort zone,a place or situation where one feels secure
1620,うわさをすれば,speak of the devil,the person being talked about appears
1621,吐き出す,spit out,say something quickly or reluctantly
1622,バックアップの計画,a backup plan,a secondary plan
1623,そうとは限らない,not necessarily,not always
1624,逆さま,upside down,turned so that the top faces the bottom
1625,泣いている,in tears,crying because of strong emotion
1626,ふと思いつく,occur to,come to mind
1627,言及する,refer to,mention
1628,役に立つ,come in handy,be useful when needed
1629,〜を応援する,root for,support and hope for someone's success
1630,疎遠になる,drift apart,gradually become less close
1631,〜のために,for the sake of,for the purpose
1632,〜を拒む,refuse to,decline to do
1633,最悪,it sucks,it's terrible
1634,ログインする,log in,sign into an account
1635,軽く食べる,grab a bite,eat a quick meal
1636,安心してください,rest assured,be confident
1637,手抜きする,cut corners,do something cheaply or quickly
1638,深掘り,deep dive,thorough investigation
1639,結局〜に行き着く,boil down to,ultimately come down
1640,直感,gut feeling,an instinctive belief
1641,話の輪に入れる,loop in,include someone in communication
1642,情報を共有している,in the loop,informed about something
1643,頼る,rely on,depend on for support
1644,〜と対立して,at odds with,in disagreement
1645,はっと気づく,dawn on,suddenly become clear
1646,悪気はないけど,no offense,without intending to insult
1647,コネを使う,pull strings,use influence behind the scenes
1648,乞うご期待,stay tuned,wait for more information
1649,シートベルトを締める,buckle up,fasten a seatbelt
1650,決めかねている,on the fence,unable to decide between two choices
1651,見事に決める,nail it,do something perfectly
1652,気にしないで,no worries,don't worry
1653,副業,side hustle,a secondary job for extra income
1654,楽勝,no sweat,no problem
1655,プラグを差し込む,plug in,connect to a power source
1656,もたれかかる,lean on,rest against
1657,急いで,in a hurry,rushed or pressed for time
1658,正確には,to be precise,more accurately
1659,ソファでゴロゴロしてる人,couch potato,a lazy TV watcher
1660,目を光らせる,keep tabs on,monitor closely
1661,不幸中の幸い,silver lining,a positive aspect of a difficult situation
1662,元気を出す,lighten up,relax
1663,対処する,cope with,deal
1664,知る人ぞ知る名所,hidden gem,a little-known but valuable thing or place
1665,一気見する,binge watch,watch many episodes in a row
1666,〜を主張する,insist on,demand firmly
1667,状況を一変させるもの,a game changer,something that drastically alters things
1668,悪循環,vicious cycle,self-reinforcing harmful pattern
1669,約束をすっぽかす,bail on,back out of plans
1670,軽く受け流す,shrug off,dismiss
1671,じっと見つめる,stare at,look fixedly
1672,〜を選ぶ,opt for,choose something
1673,自律的な,autonomous,acting independently or having the freedom to govern itself
1674,縁,rim,the outer edge of a circular object
1675,偶然見つける,stumble upon,find by chance
1676,我慢する,tolerate,accept or endure
1677,熱心な,enthusiastic,showing great excitement
1678,こぼす,spill,let liquid fall out
1679,地に足のついた,grounded,well-balanced
1680,開示する,disclose,make secret information known
1681,激怒,outrage,extreme anger
1682,解決済み,sorted,settled
1683,いたずらな,naughty,mischievous
1684,楽しませる,entertain,amuse
1685,よりシンプルな,simpler,easier or more straightforward
1686,沸騰させる,boil,heat to bubbling point
1687,ブレークスルー,breakthrough,"a sudden, important discovery or development"
1688,伝える,convey,communicate or express
1689,時差ぼけ,jet lag,fatigue after long-distance travel
1690,漂う,drift,move slowly
1691,耐える,endure,bear hardship patiently
1692,前例のない,unprecedented,never done or seen before
1693,膜,membrane,a thin layer of tissue
1694,告白する,confess,admit something privately
1695,立方体,cube,a six-sided 3D shape
1696,説得する,persuade,cause to believe or act
1697,前提,premise,a basis for argument or work
1698,香り,scent,a pleasant smell
1699,孵化する,hatch,come out of an egg
1700,波及効果,ripple effect,a spreading consequence
1701,気が進まない,reluctant,unwilling and hesitant
1702,ちらっと見ること,glimpse,a brief look
1703,ボイコットする,boycott,refuse to buy or use as protest
1704,ルームメイト,roommate,a person sharing a room
1705,できるだけ早く,ASAP,as soon as possible
1706,傑作,masterpiece,an outstanding work of art
1707,感染性の,infectious,able to spread from one to another
1708,劣った,inferior,lower in quality or status
1709,特権のある,privileged,having special rights
1710,災い転じて福となす,blessing in disguise,an apparent misfortune that turns out for the best
1711,荷物,luggage,bags you take when traveling
1712,愚痴をこぼす,vent,express frustration
1713,進化する,evolve,develop gradually
1714,骸骨,skeleton,the bony frame
1715,(顔が)赤くなる,flush,redden
1716,温かさ,warmth,the quality of being warm
1717,(病気の)流行,epidemic,a widespread outbreak of disease
1718,最小化する,minimize,reduce to the smallest possible amount
1719,空いている,vacant,empty
1720,不快な,unpleasant,not enjoyable
1721,修正する,modify,make small changes
1722,慎重な,cautious,careful
1723,めっちゃ興奮してる,stoked,extremely excited
1724,気合入ってる,pumped,fired up
1725,めっちゃお腹空いた,starving,extremely hungry
1726,抑圧,oppression,prolonged cruel treatment
1727,作り直す,remake,make again or anew
1728,協力する,cooperate,work together toward a goal
1729,衛生,hygiene,practices that maintain health and cleanliness
1730,希望に満ちた,hopeful,feeling or showing optimism
1731,運命づけられた,destined,certain to happen or be by fate
1732,長所と短所,pros and cons,arguments for and against
1733,並ぶ,queue,line up (UK)
1734,気を散らすもの,distraction,something that takes attention away
1735,幻影,phantom,a ghost
1736,生態系,ecosystem,a community of organisms and their environment
1737,洪水,floods,overflows of water onto normally dry land
1738,バレた,busted,caught doing something wrong
1739,驚くほど,remarkably,in a striking way
1740,和らげる,relieve,ease pain or stress
1741,教科書,textbook,a book used for studying a subject
1742,ハーブ,herb,a plant used for flavor or medicine
1743,ありふれた,commonplace,ordinary
1744,頑固な,stubborn,refusing to change one's mind
1745,触媒,catalyst,something that triggers change
1746,認知症,dementia,a chronic disorder of mental processes
1747,シロップ,syrup,a thick sweet liquid
1748,疲れ切った,shattered,"completely exhausted, or broken into pieces"
1749,悪名高い,infamous,well-known for a bad reason
1750,自撮り写真,selfie,a photo of oneself taken with a phone
1751,ささやく,whisper,speak very quietly
1752,傲慢な,arrogant,having too much pride
1753,心の重荷,baggage,emotional burdens from the past
1754,ノート,notebook,a book of blank pages for writing
1755,迷う,stray,wander
1756,面白さ,amusement,the state of finding something funny
1757,予測する,anticipate,expect or predict
1758,似ている,resemble,look or be similar
1759,保証,warranty,a guarantee on a product
1760,しまった,oops,"oh, a small mistake"
1761,同上,ditto,say the same thing applies to you
1762,荒らし,troll,online provocateur
1763,まばたきする,blink,open and shut eyes quickly
1764,繁栄する,thrive,prosper
1765,引き受ける,undertake,commit to and begin a task
1766,愛国者,patriot,a person who loves their country
1767,手袋,glove,a covering for the hand
1768,代理,proxy,a person or thing acting for another
1769,まず手始めに,for starters,to begin
1770,知覚する,perceive,become aware
1771,身構える,brace,prepare for something difficult
1772,不安定な,volatile,liable to change rapidly
1773,障害,obstacle,something that blocks progress
1774,意図的な,intentional,done on purpose
1775,窒息する,choke,block the airway
1776,自然発生的な,spontaneous,happening naturally without planning
1777,例示する,illustrate,explain by giving examples
1778,節目,milestone,a significant point in development
1779,怪しい,shady,suspicious
1780,私の意見では,IMO,in my opinion
1781,化粧の,cosmetic,relating to appearance
1782,黙示録,apocalypse,a catastrophic end of the world
1783,ふくらはぎ,calf,the back part of the lower leg
1784,〜を受けている,undergoing,in the process of experiencing
1785,戦術,tactic,a method to achieve a goal
1786,任命する,appoint,officially choose for a role
1787,こっそり覗く,peek,look quickly and secretly
1788,気分屋の,moody,having unpredictable moods
1789,どちらでも,whichever,any of the choices
1790,誤解,misunderstanding,a failure to understand correctly
1791,骨折する,fracture,break or crack
1792,とても愛する,adore,love or admire someone very much
1793,対応する人,counterpart,someone equivalent in role
1794,委任する,delegate,assign a task to someone else
1795,シミ,stain,a mark or discoloration that is hard to remove
1796,強調する,emphasize,give special importance
1797,特徴,trait,a distinguishing characteristic
1798,内輪話,scoop,the latest news
1799,操作する,manipulate,control or influence skillfully
1800,(高校・大学の)2年生,sophomore,a second-year student
1801,灌漑(かんがい),irrigation,the supply of water to land or crops
1802,歩道,sidewalk,a paved path for pedestrians beside a road
1803,共同の,communal,shared by a community
1804,(髪などの)一筋,strand,a single thread
1805,一時停止する,suspend,stop temporarily
1806,景色,scenery,the natural features of a landscape
1807,ゆでた,boiled,cooked in boiling water
1808,展覧会,exhibitions,public displays of art or items
1809,独特な,peculiar,strange or unusual
1810,混沌とした,chaotic,very disorganized
1811,まくし立てる,rant,speak angrily at length
1812,さまよう,wander,move aimlessly
1813,食料品,groceries,food and household supplies
1814,活気のある,vibrant,full of energy and color
1815,インターン,intern,a trainee working to gain experience
1816,影響を受けやすい,susceptible,easily affected or influenced
1817,筋肉質の,muscular,having well-developed muscles
1818,救世主,savior,a person who rescues someone from harm
1819,信じる人,believer,a person who believes in something
1820,悪意のある,malicious,intending to do harm
1821,臆病者,coward,a person who lacks courage
1822,主人公,protagonist,the main character of a story
1823,即座に,in a heartbeat,instantly
1824,状況,circumstance,a fact or condition relevant to a situation
1825,割り当てる,assign,allocate
1826,パイント（ビール一杯）,pint,a pint of beer
1827,押しのける,shove,push roughly
1828,オタク,nerd,an enthusiast or studious person
1829,多用途の,versatile,able to adapt to many functions or activities
1830,段ボール,cardboard,thick stiff paper used for boxes
1831,販売代理店,distributor,a person or company that supplies goods to retailers
1832,遺伝的に,genetically,in relation to genes
1833,消す,erase,remove or rub out completely
1834,くそ,dang,dammit (mild)
1835,ワクワクしてる,buzzing,very excited
1836,偽善,hypocrisy,claiming morals one doesn't have
1837,観点,standpoint,a particular point of view
1838,手強い,formidable,inspiring respect through size or skill
1839,職業訓練の,vocational,relating to job skills training
1840,抜本的に,drastically,in a severe and far-reaching way
1841,症状,symptom,a sign of illness
1842,組み立てる,assemble,put together
1843,お茶（紅茶）,brew,tea
1844,怪しい,sus,seeming dishonest or untrustworthy
1845,もっともらしい,plausible,seeming reasonable or probable
1846,てこ,lever,use as leverage
1847,居心地のいい,cozy,warm and comfortable
1848,突然変異体,mutant,an organism with a mutation
1849,観点,viewpoint,a particular way of considering something
1850,最大化する,maximize,make as great as possible
1851,検査する,inspect,examine carefully and officially
1852,首尾一貫した,coherent,logical and consistent
1853,徹夜,all-nighter,stay up all night
1854,大騒ぎ,fuss,excessive commotion or excitement
1855,福利厚生,perks,benefits provided to employees
1856,無敗の,undefeated,never been beaten
1857,区別する,differentiate,distinguish between things
1858,ノスタルジア,nostalgia,sentimental longing for the past
1859,薄暗い,dim,giving little light
1860,ちくしょう,darn,a mild exclamation of annoyance
1861,きょうだい,sibling,a brother or sister
1862,靴下,sock,a foot covering
1863,事実に基づく,factual,based on facts
1864,基準,benchmark,a standard to compare against
1865,完璧な,flawless,without any flaw
1866,陽気な,cheerful,noticeably happy and optimistic
1867,息をのむような,breathtaking,astonishingly beautiful or impressive
1868,社交的な,outgoing,sociable
1869,信じられない,unreal,amazing
1870,磨く,buff,polish
1871,余分な,redundant,no longer needed
1872,からかう,tease,make fun of in a playful or annoying way
1873,監督されている,supervised,watched or directed by someone in charge
1874,ざっと見る,browse,look through casually
1875,スワイプする,swipe,drag your finger across the screen
1876,はったりをかける,bluff,pretend
1877,安っぽい,cheesy,tacky
1878,構ってちゃん,needy,overly demanding of attention
1879,風変わりな,eccentric,unconventional and strange
1880,クッション,cushion,a soft pad
1881,背景,backdrop,the scenery behind
1882,反射する,reflective,throwing back light
1883,曖昧な,ambiguous,open to more than one interpretation
1884,面倒,hassle,annoying trouble
1885,使い捨ての,disposable,intended to be thrown away
1886,気分を害する,offend,cause to feel hurt or insulted
1887,くよくよ考える,dwell on,think about something for too long
1888,守る,adhere to,stick
1889,通勤,commute,travel between home and work
1890,無性に食べたい気持ち,craving,a strong desire for food
1891,大失敗,flop,a complete failure
1892,奇妙にも,oddly,in a strange way
1893,誓う,vow,make a solemn promise
1894,墓地,graveyard,a burial ground
1895,料理の,culinary,relating to cooking or the kitchen
1896,ぼかす,blur,make unclear or indistinct
1897,感情的に取り乱すこと,meltdown,an emotional collapse
1898,下痢,diarrhea,the condition of having frequent loose stools
1899,欠点,downside,a disadvantage or drawback
1900,ドン引きする,cringe,feel embarrassed for others
1901,直感,intuition,instinctive understanding
1902,やかん,kettle,a container for boiling water
1903,失脚,downfall,"a loss of power, status, or success"
1904,同時の,simultaneous,happening at the same time
1905,遊び心のある,playful,full of fun and energy
1906,〜を処分する,dispose of,get rid
1907,大切にする,cherish,hold dear
1908,過大評価された,overrated,rated more highly than deserved
1909,クスクス笑う,chuckle,laugh softly
1910,イチャつく,flirt,behave amorously without serious intent
1911,幸福,wellbeing,the state of being healthy and happy
1912,生意気な,cheeky,saucy
1913,受信トレイ,inbox,where incoming messages are stored
1914,共同で取り組む,collaborate,work jointly
1915,逃走,getaway,an escape
1916,引用,quotation,a passage cited from someone
1917,指標,metrics,measurements used to track performance
1918,約,approx,approximately
1919,退屈で面倒な,tedious,"long, slow, and boring"
1920,給料,paycheck,a check for an employee's wages
1921,二日酔い,hangover,the unpleasant after-effects of drinking
1922,回復力のある,resilient,able to recover quickly
1923,挑発する,provoke,stimulate or anger
1924,肌寒い,chilly,moderately cold
1925,顕微鏡,microscope,an instrument for viewing tiny things
1926,一致する,correspond,match or be equivalent
1927,自慢する,brag,boast about oneself
1928,耳に残る,catchy,easy to remember
1929,オウム,parrot,a colorful talking bird
1930,ワニ,crocodile,a large predatory reptile
1931,意識している,mindful,conscious and aware
1932,口を挟む,chime in,join in a conversation
1933,麻痺,paralysis,inability to act or decide
1934,歓喜,ecstasy,an overwhelming feeling of joy
1935,没頭,immersion,deep involvement in a language or activity
1936,プラグ,plugs,devices for connecting to a power outlet
1937,段々に流れ落ちる,cascade,fall or flow in a series of stages
1938,適度に,in moderation,within sensible limits
1939,うたた寝する,doze off,fall asleep unintentionally
1940,退屈,boredom,the state of being bored
1941,つけ回す,stalk,follow secretly
1942,垂直に,vertically,in an up-and-down direction
1943,中傷する,smear,damage someone's reputation with false claims
1944,ひどい臭いがする,stink,have a strong unpleasant smell
1945,仕事量,workload,the amount of work to do
1946,不具合,glitch,a minor malfunction or error
1947,称賛,kudos,praise
1948,率直な,candid,truthful and straightforward
1949,前髪,bangs,hair cut to hang over the forehead
1950,困らせる,stump,confuse or baffle
1951,要約,recap,summarize the main points
1952,部下,subordinate,lower in rank
1953,暫定的な,tentative,not certain
1954,震える,shaky,trembling
1955,揺れる,quake,shake
1956,シミュレートする,simulate,imitate
1957,不器用な,clumsy,awkward in movement
1958,注射する,inject,introduce a fluid
1959,実現可能性,feasibility,the possibility of being done successfully
1960,カート,trolley,a cart for carrying goods
1961,おっと,whoops,oops
1962,いじくる,fiddle,play around with absentmindedly
1963,移住する,migrate,move from one place to another
1964,不眠症,insomnia,inability to sleep
1965,不必要に,unnecessarily,in a way that is not needed
1966,至るところにある,ubiquitous,present everywhere
1967,〜をそらす,divert,redirect to a different course
1968,逆,inverse,opposite in order or effect
1969,落とし所,kicker,the surprising twist
1970,2週間,fortnight,a period of two weeks
1971,人口の多い,populous,having a large population
1972,がっかり,gutted,really disappointed
1973,充電する,recharge,restore energy or power
1974,心からの,heartfelt,deeply sincere
1975,拡散,diffusion,the spreading of something
1976,エチケット,etiquette,the rules of polite behavior
1977,喜びに満ちた,joyful,full of happiness
1978,倹約,thrift,careful management of money
1979,残り物,leftover,food remaining from a meal
1980,生意気な,cocky,overconfident
1981,振りかける,sprinkle,scatter in small amounts
1982,優雅な,graceful,moving with elegance
1983,ショータイム,showtime,the start of a performance
1984,置き忘れた,misplaced,lost temporarily
1985,単独で機能する,standalone,able to operate independently
1986,投資収益率(ROI),ROI,return on investment
1987,スタミナ,stamina,the ability to sustain prolonged effort
1988,残り物,leftovers,remaining food from a meal
1989,上り坂の,uphill,going up a slope
1990,正当な,rightful,having a just or legal claim
1991,粘液,slime,"a soft, sticky substance"
1992,ぐちぐち言う,moan,complain in a whiny tone
1993,後退,setback,a reversal or check in progress
1994,ノンストップの,nonstop,without stopping
1995,蛍光の,fluorescent,emitting glowing light
1996,起源を持つ,originate,have a specified beginning
1997,〜を上回る,surpass,exceed
1998,再会させる,reunite,bring together again after being apart
1999,特に気に障ること,pet peeve,a particular annoyance
2000,大したことない,no biggie,not a big deal
