No.,日本語,単語・表現,英語の説明
1101,(知恵を)拝借する,pick your brain,ask someone for their ideas
1102,さらに悪いことに,to make matters worse,as a worsening factor
1103,SNSマーケティング,social media marketing,promotion via social platforms
1104,モバイルデータ通信,mobile data,internet access through a phone network
1105,〜について合意する,agree on,reach consensus
1106,〜に同意する,agree with,share the same opinion
1107,〜に同意,agree to,consent to do
1108,見分ける,tell apart,distinguish between similar things
1109,〜を嘆く,cry over,weep because of something
1110,家から出られない,stuck at home,unable to leave the house
1111,〜を探す,search for,look carefully to find something
1112,自腹で,out of pocket,paying with one's own money
1113,コーヒーを飲みに行く,grab coffee,go for coffee
1114,手が離せない,tied up,busy with something
1115,目立たない態度,low profile,a state of avoiding attention
1116,〜を取り除く,get rid of,remove or dispose
1117,軽く連絡を取る,touch base,briefly make contact
1118,生ける屍,walking dead,someone exhausted or doomed
1119,洗い物をする,wash up,clean dishes
1120,ある程度,a degree,a level or amount
1121,心に響く,it hits home,it deeply affects me personally
1122,自転車通勤する,cycle to work,commute to work by bicycle
1123,コーヒー休憩,coffee break,a short break for coffee
1124,激突する,crash into,hit something hard and suddenly while moving
1125,当たり前と思う,take it for granted,assume without appreciation
1126,口を閉じておく,keep my mouth shut,stay silent
1127,危機を脱した,out of the woods,past a difficult phase
1128,それは存在しない,it doesn't exist,there is no such thing
1129,のんびりした,laid back,relaxed
1130,どうぞご自由に,be my guest,go ahead
1131,〜かしら,I wonder if,I'm not sure whether
1132,お願いがあるんだ,need a favor,request a favor from someone
1133,すっぽかす,blow off,ignore
1134,最後の息まで,until my last breath,for the rest of my life
1135,始動させる,get it rolling,get something started or moving
1136,為替レート,exchange rate,the value of one currency relative to another
1137,ちょっと寄る,swing by,make a quick stop
1138,めちゃくちゃ怒っている,pissed off,annoyed or angry
1139,転換点,turning point,a moment of significant change
1140,交代,work shift,scheduled work period
1141,退勤する,clock out,record the end of a work shift
1142,恨みっこなしね,no hard feelings,no resentment
1143,ゴマをする,suck up to,flatter to gain favor
1144,〜し終える,finish doing,complete the action
1145,そういえば,speaking of,since you mentioned
1146,〜のはずだった,was supposed to,had been expected
1147,〜してはいけない,not supposed to,not allowed or not expected to do something
1148,念のため確認すると,just to confirm,to verify briefly
1149,華やかに飾り立てる,deck out,decorate or dress elaborately
1150,傍聴する,sit in,attend as an observer
1151,〜より大きい,be greater than,exceed in size or amount
1152,〜とは思えない,I doubt,I don't think
1153,間違いない,no doubt,without question
1154,迷ったときは,if in doubt,when you are uncertain
1155,どこか別の場所で,somewhere else,in or to a different place
1156,おだてる,butter up,flatter to gain favor
1157,突然,out of nowhere,suddenly without warning
1158,ひと手間かける,go the extra mile,make a special effort
1159,たちの悪い冗談,bad joke,a joke that is unfunny or inappropriate
1160,自分への ご褒美に〜する,treat myself to,indulge in something enjoyable
1161,義理の家族,in-laws,relatives by marriage
1162,興亡,rise and fall,the process of increasing then declining
1163,続ける,carry on,continue doing something
1164,その通り,spot on,exactly right
1165,脳細胞,brain cell,a nerve cell in the brain
1166,握手する,shake hands,clasp hands in greeting or agreement
1167,心に留める,bear in mind,keep in mind
1168,団結,unity,the state of being united
1169,爆発,explosion,a violent burst
1170,生み出す,generate,produce or create
1171,許可する,permit,officially allow
1172,うっかり,accidentally,by chance
1173,人々,folk,people in general
1174,基準（criterionの複数形）,criteria,standards used to judge
1175,バックアップ,backup,a copy of data for safety
1176,提唱する,advocate,publicly support a cause
1177,強調する,highlight,draw attention
1178,農業,farming,the activity of growing crops or raising animals
1179,過剰,excess,more than necessary or allowed
1180,飛ばす,skip,omit
1181,示す,demonstrate,show clearly
1182,寛大な,generous,willing to give
1183,ひっくり返す,flip,turn over
1184,抵抗する,resist,withstand or oppose
1185,実施する,implement,put into effect
1186,輸送,transit,the act of being conveyed
1187,精神的に,mentally,in terms of the mind
1188,冗談を言っている,kidding,saying something untrue as a joke
1189,印象的な,striking,very noticeable
1190,特権,privilege,a special right or advantage
1191,服用量,dose,a measured amount of medicine
1192,無線の,wireless,without using wires
1193,退屈な,bored,feeling weary because nothing interesting is happening
1194,対戦相手,opponent,a person on the other side of a contest
1195,職業,occupation,a person's job or activity
1196,保存する,preserve,keep in original or good condition
1197,資格を得る,qualify,meet requirements
1198,酔っ払い,wasted,drunk
1199,興奮,excitement,a feeling of eager enthusiasm
1200,悪夢,nightmare,a very bad experience
1201,持続可能な,sustainable,able to be maintained
1202,洞察,insight,a deep understanding
1203,運命,destiny,events fixed by fate
1204,一晩,overnight,for the duration of one night
1205,認める,acknowledge,accept or admit something
1206,キャンセルする,cancel,call off a plan or reservation
1207,ライバル,rival,a competitor
1208,スプレー,spray,a fine mist of liquid
1209,詳しく調べる,examine,inspect closely
1210,回復する,restore,bring back to a former condition
1211,じゅうたん,carpet,thick fabric covering a floor
1212,ゴミ,garbage,waste material
1213,優しい,gentle,kind and calm
1214,夢中,crush,an intense but brief infatuation
1215,プロパガンダ,propaganda,biased information for influence
1216,匿名の,anonymous,not identified by name
1217,監視,surveillance,close watch over a person or place
1218,解釈する,interpret,explain the meaning
1219,内気な,shy,reserved around others
1220,謝る,apologize,say you're sorry
1221,反応する,react,respond to a stimulus
1222,譲る,yield,give way
1223,受け入れる,embrace,accept willingly
1224,負債,liability,a debt or burden
1225,象徴,icon,a symbol or famous figure
1226,日差し,sunshine,bright sunlight
1227,先住の,indigenous,originating naturally in a region
1228,パレード,parade,a public procession
1229,層,tier,a level in a hierarchy
1230,日陰,shade,an area shielded from light
1231,無限の,infinite,without limit or end
1232,発言,remarks,spoken or written comments
1233,便利な,convenient,easy to use
1234,取り組む,tackle,address
1235,妥協する,compromise,settle by mutual concession
1236,時系列,timeline,a sequence of events arranged in time order
1237,農家,farmer,a person who works on a farm
1238,正当化する,justify,show or prove to be right
1239,説教する,lecture,give a long talk
1240,当然の,deserved,earned because of one's actions
1241,腐敗した,corrupt,morally depraved or dishonest
1242,巡回する,patrol,guard or move around an area regularly
1243,落ち込んだ,depressed,feeling severe sadness
1244,雷,thunder,the loud sound that follows lightning
1245,在庫,inventory,a complete list of goods in stock
1246,境界,boundary,a limit
1247,曲げる,bend,curve
1248,ありがとう,cheers,thanks
1249,新人,rookie,a beginner
1250,罪悪感,guilt,feeling of having done wrong
1251,要求の多い,demanding,requiring much effort
1252,職業,profession,a paid occupation requiring training
1253,象徴的な,iconic,widely recognized and admired
1254,意識,consciousness,awareness
1255,ただの,mere,nothing more than
1256,魅力的な,engaging,charming and attractive
1257,コンサルタント,consultant,an expert who gives professional advice to organizations
1258,都合,availability,the state of being free to be used
1259,泥,mud,wet soil that is soft and sticky
1260,締切,deadline,the latest time something must be done
1261,履歴書,resume,a summary of one's work history
1262,リマインダー,reminder,something that helps you remember
1263,不運な,unfortunate,having or marked by bad luck
1264,植民地,colony,a territory controlled by another country
1265,強く促す,urge,strongly encourage
1266,謙虚な,humble,modest
1267,利己的な,selfish,thinking only of oneself
1268,魅力,attraction,something that pulls
1269,完璧にこなす,ace,do extremely well
1270,凍る,freeze,become motionless from shock
1271,変換する,convert,change in form or function
1272,気持ちの区切り,closure,a sense of resolution
1273,長続きする,lasting,continuing to exist or be effective
1274,鎖,chains,connected metal links
1275,〜だと思う,reckon,think
1276,区別,distinction,difference
1277,心から〜,Genuinely,really
1278,厳密には,technically,strictly according to facts
1279,残忍な,brutal,savage
1280,強力な,mighty,having great power
1281,笑い,laughter,the sound of laughing
1282,反対する,disagree,have a different opinion
1283,助言する,advise,tell someone what you think they should do
1284,カルト的な,cult,a small devoted following
1285,消える,disappear,stop being visible
1286,頭蓋骨,skull,the bony framework of the head
1287,セットアップ,setup,the way something is arranged
1288,ドリル,drill,a tool for boring holes
1289,漏れる,leak,let liquid or info escape
1290,意外にも,surprisingly,in a way that causes surprise
1291,承認する,approve,officially agree to something
1292,疲れ果てた,exhausted,extremely tired
1293,イライラした,frustrated,feeling annoyed and helpless
1294,(恋人を)振る,dump,end a romantic relationship
1295,微妙な,subtle,delicately complex
1296,避けられない,inevitable,certain to happen and impossible to avoid
1297,圧倒的な,overwhelming,very strong or intense
1298,宿泊する,lodge,stay temporarily
1299,洗面器,basin,a bowl for water
1300,素晴らしい,fabulous,extremely good
1301,レイアウト,layout,the arrangement of elements
1302,仮定,assumption,a thing accepted as true without proof
1303,結果,consequence,a result of an action
1304,調整する,adjust,make small changes
1305,細かい,petty,small-minded
1306,ざっと見る,scan,look over quickly
1307,ヒント,hint,a slight indication
1308,魅力的な,charming,delightfully attractive
1309,毛布,blanket,a thick cover
1310,経歴,bio,a short biography
1311,つま先,toe,one of the digits on the foot
1312,卓越,excellence,the quality of being outstanding
1313,量子,quantum,an extremely small unit
1314,全部で,altogether,in total
1315,怖がらせる,scare,frighten
1316,義務,obligation,something you are required to do
1317,大陸,continent,one of the earth's large landmasses
1318,専門知識,expertise,special skill or knowledge
1319,不足,deficit,a shortfall in revenue or amount
1320,詳しく説明する,elaborate,explain in more detail
1321,連続,streak,a continuous series
1322,ズルする,cheat,act dishonestly
1323,ロープ,rope,a thick strong cord
1324,十分な,adequate,enough
1325,変える,alter,make different
1326,謝罪,apology,an expression of regret
1327,容赦ない,savage,ruthlessly cool or brutal
1328,値下がり,dip,a small drop in price or quantity
1329,洗練された,sophisticated,refined
1330,凍えるほど寒い,freezing,extremely cold
1331,積み重ねる,stack,a neat pile
1332,オーブン,oven,an enclosed compartment for heating food
1333,返り咲き,comeback,a return to success or popularity
1334,支えになる,supportive,providing encouragement or help
1335,測定,measurement,"the size, length, or amount of something"
1336,気味悪い,creepy,unsettling
1337,変身する,transform,change form completely
1338,感謝祭(サンクスギビング),thanksgiving,an autumn US holiday of giving thanks
1339,壮大な,magnificent,extremely beautiful or impressive
1340,対戦相手の,opposing,competing against
1341,配置,placement,the act of positioning
1342,日の入り,sunset,the time when the sun goes down
1343,熱心な,eager,very keen
1344,がらくた,junk,useless or worthless items
1345,期待,hype,intense excitement or buzz
1346,感情,sentiment,a thought or feeling
1347,トレーニング,workout,a session of exercise
1348,史上最高,GOAT,greatest of all time
1349,腸,gut,the intestines
1350,抽出する,extract,remove or pull out
1351,バッジ,badge,an emblem or mark of achievement
1352,警告する,warn,give notice of danger
1353,放棄する,abandon,give up completely
1354,エゴ,ego,a person's sense of self-importance
1355,確率,probability,the likelihood of something happening
1356,保留中の,pending,awaiting decision or completion
1357,電圧,voltage,the electric potential difference
1358,評価する,evaluate,judge the value or quality
1359,繊細な,delicate,fragile
1360,利点,upside,an advantage or positive aspect
1361,ガチ,legit,genuine
1362,鞭打つ,whip,a fast strike or stir vigorously
1363,親指,thumb,the short thick finger
1364,文明,civilization,an advanced state of human society
1365,航海する,sail,travel on water by boat
1366,敗者,loser,a person who loses
1367,特別に,specially,for a particular purpose
1368,木材,timber,wood prepared for building
1369,処方箋,prescription,doctor's note for medicine
1370,借りる,borrow,take with permission to return later
1371,手配する,arrange,organize
1372,急いで行く,dash,go quickly
1373,優しさ,kindness,the quality of being kind
1374,コンセント,outlet,an electrical socket
1375,どうか〜してください,kindly,please (polite)
1376,痛い,sore,"painful, especially muscle pain"
1377,アップロードする,upload,send a file from your device
1378,提案する,propose,suggest
1379,促進する,facilitate,make easier to do
1380,一貫性,consistency,the quality of being stable
1381,群れ,cluster,a group of similar things close together
1382,侮辱,insult,a rude or offensive remark
1383,同僚,colleague,a person you work
1384,適応する,adapt,adjust to new conditions
1385,自慢する,flex,show off what you have or can do
1386,説得力のある,compelling,evoking strong interest
1387,無傷の,intact,undamaged
1388,激怒した,furious,extremely angry
1389,1年生,freshman,a first-year student
1390,豆,bean,a seed of certain plants used as food
1391,頭痛,headache,a troublesome problem
1392,ガチ,hardcore,extremely intense or devoted
1393,誘因,incentive,something that motivates action
1394,互換性のある,compatible,able to exist or work together
1395,卸売り,wholesale,selling goods in large quantities to retailers
1396,自閉症,autism,a developmental condition affecting communication
1397,ランダムに,randomly,in a way that lacks a pattern or order
1398,戦術的な,tactical,relating to careful planning for an aim
1399,喜び,delight,great pleasure
1400,傾向,tendency,an inclination to behave in a certain way
1401,台無しにする,wreck,ruin
1402,偶然,coincidence,a remarkable concurrence of events
1403,中断する,interrupt,break the continuity
1404,扱いが難しい,tricky,difficult to deal
1405,ウエスト,waist,the narrow part of the body above the hips
1406,予測,prediction,a forecast of what will happen
1407,〜だとされている,supposedly,according to what is believed
1408,上品な,elegant,graceful and stylish
1409,ため息をつく,sigh,exhale audibly
1410,ハイキング,hike,a long walk
1411,魅力的な,appealing,attractive or interesting
1412,感度,sensitivity,the quality of being easily affected or sensing
1413,思いやり,compassion,sympathy and concern for others' suffering
1414,祖国,homeland,one's native country
1415,美徳,virtue,a good moral quality
1416,残業,overtime,work beyond regular hours
1417,返金,refund,money returned to you
1418,押し込む,squeeze,press
1419,交換する,swap,exchange one thing for another
1420,雰囲気,vibe,a feeling or atmosphere
1421,人脈作り,networking,building professional connections
1422,深い,profound,very great or deep
1423,思い出すこと,remembering,calling to mind
1424,アイドル,idol,a person greatly admired
1425,〜から成る,consist,be made up
1426,かわす,dodge,avoid by quick movement
1427,道化,clown,a foolish person
1428,感謝している,thankful,feeling glad about something good you received
1429,サウンドトラック,soundtrack,music for a film or show
1430,停止する,halt,bring to an abrupt stop
1431,三角形,triangle,a three-sided shape
1432,占める,occupy,fill space or time
1433,戦場,battlefield,a place where a battle is fought
1434,レシート,receipt,proof of purchase
1435,通知,notification,an alert from an app
1436,貸す,lend,give with the expectation of return
1437,愛情,affection,warm feeling toward someone
1438,感謝の気持ち,gratitude,a feeling of thankfulness
1439,課す,impose,"force a rule, tax, or burden on someone"
1440,センサー,sensor,a device that detects changes or signals
1441,子会社,subsidiary,a company controlled by another
1442,概要を述べる,outline,give the main points
1443,野心,ambition,strong desire to achieve
1444,投げる,toss,throw lightly
1445,褒め言葉,compliment,an expression of praise
1446,国歌,anthem,an uplifting song
1447,虐殺,massacre,the brutal killing of many people
1448,スリラー,thriller,an exciting suspenseful story or film
1449,再建する,rebuild,build something again after damage or loss
1450,知り合い,acquaintance,a person known slightly
1451,ドタキャン,ditch,abandon plans or someone
1452,脚光,spotlight,intense focus or attention
1453,スラング,slang,informal language
1454,結論を出す,conclude,bring to an end
1455,おもてなし,hospitality,friendly reception of guests
1456,ジェスチャー,gesture,a motion of the hands or body
1457,おそらく,arguably,as may be shown by argument
1458,無職の,unemployed,without a paid job
1459,鈍い,blunt,not sharp
1460,機密の,confidential,meant to be kept secret
1461,埋める,bury,place in the ground
1462,光熱費,utilities,essential household services
1463,消費する,consuming,using up
1464,嫌な奴,bastard,an offensive insult
1465,投獄,imprisonment,the state of being kept in prison
1466,嫌う,dislike,feel aversion
1467,活用する,leverage,use to maximum advantage
1468,無意味な,pointless,having no purpose
1469,計り知れない,immense,extremely large
1470,悲しみ,sadness,the feeling of being sad
1471,ピカピカの,shiny,reflecting light brightly
1472,疑いなく,undoubtedly,without any doubt
1473,握り締める,clutch,grasp tightly
1474,添付ファイル,attachment,a file sent with an email
1475,カルマ,karma,the idea that actions bring like consequences
1476,うさぎちゃん,bunny,a rabbit (childish or affectionate)
1477,漠然とした,vague,not clear or precise
1478,仮説,hypothesis,a proposed explanation
1479,計算する,calculate,compute
1480,小さい,wee,small (Scottish/UK)
1481,くだらない,rubbish,nonsense
1482,宝石,gem,something or someone of great value
1483,楽観的な,optimistic,hopeful about the future
1484,不安定な,unstable,not steady
1485,余剰,surplus,an amount left over
1486,進行中で,underway,in progress
1487,壊れやすい,fragile,easily broken
1488,納税者,taxpayer,a person who pays taxes
1489,心構え,mindset,a person's mental attitude
1490,強く押す,thrust,push with force
1491,前進している,advancing,moving forward
1492,皮肉,irony,a contrast between expectation and reality
1493,商品,commodity,a raw material or product that can be traded
1494,相関関係,correlation,a mutual relationship between things
1495,半径,radius,the distance from the center of a circle
1496,日光,sunlight,light from the sun
1497,明確にする,clarify,make something easier to understand
1498,怒鳴る,yell,shout loudly
1499,取り入れる,incorporate,include as part of a whole
1500,螺旋,spiral,wind in a curve
