No.,日本語,単語・表現,英語の説明
2608,校正する,proofread,read to find and fix errors
2609,コワーキング,coworking,shared workspace arrangement
2610,外れ値,outlier,a value or person that differs much from others
2611,大らかな,easygoing,relaxed and tolerant
2612,高架の歩道,skypath,an elevated pedestrian walkway
2613,傾斜した面,angled surface,a slanted or tilted surface
2614,考え直す,give it a second thought,reconsider it
2615,(欲求などを)発散する,get something out of my system,release pent-up urges
2616,小道,footpath,a narrow path for walking
2617,〜した方がいいかもしれない,it might be a good idea to,it could be wise
2618,〜を置く,place,put something in a particular position
2619,〜に目を通す,go through,examine or experience
2620,〜をちらっと見せる,flash,show something briefly
2621,つまらない,lame,unimpressive
2622,決して手放さない〜,I'll never part with,something I will never give up
2623,亡くなる(婉曲表現),pass away,die (a polite expression)
2624,こんなの見たことない,I've never seen anything like this,this is unlike anything I've seen
2625,今の流れだと,the way things are going,given how things are progressing
2626,ぶつぶつ言う,grumble,complain in a low voice
2627,フィッシュ&チップス店,chippy,fish and chips shop
2628,だいたい〜になる見込みだ,it's expected to be around,it is anticipated to be approximately
2629,見かけで判断するな,don't judge a book by its cover,don't judge by appearance
2630,私についての簡単な紹介,a few words about me,a short self-introduction
2631,威張りたがる,bossy,always telling other people what to do
2632,話がうますぎる,too good to be true,so good that it seems unreal
2633,〜するのに苦労する,have a hard time doing,find it difficult to do
2634,私があなたなら,if I were you,if I were in your position
2635,降れば土砂降り(悪いことは重なる),when it rains it pours,troubles come all at once
2636,法定機関,statutory body,an organization set up by law
2637,それどういう意味？,what's that supposed to mean,what do you mean
2638,家にこもりっぱなしで,cooped up inside,stuck indoors and restless
2639,どうしても〜できない,for the life of me,no matter how hard I try
2640,(物を)直す,fix,repair or arrange
2641,〜がうまくいかなかった,went wrong,something failed or had an error
2642,氷山の一角,the tip of the iceberg,a small visible part of a bigger problem
2643,肘掛け,armrest,the support for the arm on a chair
2644,世界中から,from all over the world,from everywhere globally
2645,君ならいったいどうしたって言うんだ,what exactly would you have done,what precisely would you have done instead
2646,よろしくな(くだけた挨拶),nice to meet you bro,casual friendly greeting on meeting
2647,分析,analysis,detailed examination
2648,落ち着いてリラックスする,chillax,chill out and relax
2649,通路側の席,isle seat,an aisle seat by the walkway
2650,頭から離れない,preoccupy,occupy someone's thoughts
2651,言葉では到底言い表せない,no word can truly describe,words are insufficient to express
2652,〜の後に,subsequent to,after
2653,〜に押印する,stamp,press a mark onto
2654,〜に関係なく,irrespective of,regardless
2655,事業体,entity,a thing that exists as a single
2656,発展途上国に暮らす(時に蔑称的),live in a third world,live in a developing country (often pejorative)
2657,〜についてどう思う？,how would you feel about,what do you think
2658,武道,martial art,a combat sport or self-defense discipline
2659,〜に一番合う,suit you best,be the most appropriate for something
2660,マイクロマネジメント,micromanagement,controlling every small detail
2661,賭けの戦略,betting strategy,a plan for placing bets
2662,〜まで一気に進む,go all the way to,reach as far
2663,めっちゃイライラする,it drives me up the wall,it irritates me intensely
2664,認証する,authenticate,verify the identity or genuineness
2665,すねる,sulk,be silently moody
2666,〜を提出する,file,submit a document officially
2667,行儀よくする,behave oneself,act properly and politely
2668,清算,liquidation,the process of closing a business and selling assets
2669,〜の場所を突き止める,locate,find or place something
2670,〜を疑う,doubt,feel uncertain about something
2671,〜を投げる,throw,propel something through the air
2672,〜を輸入する,import,bring goods from abroad
2673,急に冷める感じ,ick,a sudden feeling of repulsion
2674,過去のことは水に流す,let bygones be bygones,let the past be the past
2675,取り乱す,go off the deep end,"react with extreme, irrational emotion"
2676,ピリピリする,tingle,feel a slight prickling sensation
2677,〜を料理する,cook,prepare food using heat
2678,脳を腐らせるコンテンツ,brainrot,low-quality content that dulls thinking
2679,焼け石に水,a drop in the bucket,a tiny insignificant amount
2680,(手紙などに)同封する,enclose,include with a letter or package
2681,一般化する,generalize,make a broad statement from few cases
2682,甘くする,sweeten,make more attractive
2683,でっち上げる,fabricate,invent falsely
2684,ぼんやりした,groggy,dazed
2685,〜がどう機能するか,how it functions,the way something operates
2686,もし〜と言ったら嘘になる,I'd be lying to you if I said,I would lie if I told you
2687,プレイスタイル,playstyle,the manner in which someone plays
2688,〜と気が合う,vibe with,get along well
2689,仕事に追われている,swamped,overwhelmed with work
2690,何度見ても,no matter how many times I watch it,however often I view it
2691,〜を運転する,drive,operate a vehicle
2692,言われてみれば,now that you mention it,thinking about what you said
2693,〜を保存する,save,keep safe or set aside for later
2694,〜を禁止する,ban,officially prohibit
2695,〜を危険にさらす,risk,expose to danger or loss
2696,〜したら？,why not,why don't you (suggestion)
2697,AIが量産した粗悪コンテンツ,ai slop,low-quality mass-produced AI content
2698,当事者,party,a person or group in an agreement
2699,あなたの立場は理解できる,I see where you're coming from,I understand your position
2700,どこまで話したっけ？,where was I,where did I leave off
2701,〜を考慮して,in light of,taking new information into account
2702,クタクタ,knackered,exhausted (UK)
2703,(人)を〜から追い出す,force out of,drive someone from a place or position
2704,だから何？,so what,why does that matter?
2705,靴下たくさん,a bunch of socks,many pairs of socks
2706,〜という共通点がある,have in common,share a characteristic or interest
2707,(人)に親切なことをする,do a favor,perform a kind service for someone
2708,何があっても,come hell or high water,no matter what happens
2709,〜を合わせる,let them meet,allow two things to come together
2710,〜を力いっぱい投げる,hurl,throw something with force
2711,(人)を導く,lead,guide someone in a direction or activity
2712,考えすぎる,overthink,think about too much
2713,まとわりつく,clingy,overly attached
2714,〜を下げる,lower,reduce in level or amount
2715,小型モジュール式の,small modular,compact and built from standard units
2716,神経質な,uptight,tense
2717,〜はもうおしまいだ,be done for,something is ruined or finished
2718,そういえば,come to think of it,now that I think about it
2719,手工芸,handcraft,an item made by hand
2720,〜はずっと〜だ,has been,something has existed or continued
2721,〜を放送する,air,broadcast
2722,(人)に(物)を送る,send,send someone something
2723,〜を持ち上げる,lift,raise to a higher position
2724,眠れない夜を過ごす,have sleepless night,spend a night unable to sleep
2725,発音記号,pronunciation symbol,a character representing a speech sound
2726,オールインワンの,all in one,combining several functions in a single unit
2727,(サービスなどを)提供する,render,provide
2728,やっと金曜だ,TGIF,thank God It's Friday
2729,もごもご言う,mumble,speak unclearly
2730,〜じゃない？,or what,isn't it
2731,〜でも驚かない,it wouldn't surprise me if,I'd expect
2732,後付け,afterthought,an idea added later
2733,(人)をびっくりさせる,startle,cause someone sudden surprise
2734,入居,occupancy,the state of occupying a space
2735,〜を育てる,grow,cultivate or cause to develop
2736,実は,as a matter of fact,in actuality
2737,〜なさいますか？,care to do ?,would you like to do (polite)
2738,建物のがれき,building debris,rubble from damaged buildings
2739,スプーン一杯,spoonful,an amount a spoon can hold
2740,禁止する,prohibit,officially forbid
2741,調理された,cooked,prepared by heat
2742,〜を除いて,with the exception of,not including one particular person or thing
2743,〜を回す,turn,rotate or change the direction
2744,本当に正気じゃない,truly out of your mind,completely irrational or crazy
2745,〜に圧倒されている,be overwhelmed with,be flooded by too much of something
2746,当てにならない,flaky,unreliable
2747,〜が引き起こす,spark,something triggers or ignites
2748,〜を持っていない他の誰か,anyone else who doesn't have,any other person lacking
2749,親切を当然と思う,take kindness for granted,treat kindness as if owed
2750,ピクニック日和,picnic weather,weather perfect for a picnic
2751,追跡する,track,monitor or follow progress
2752,頭の中に居座っている,live in my head rent free,occupy my thoughts constantly
2753,真似ばかりする人,copycat,a person who imitates others
2754,(人)に知らせる,inform,give someone information
2755,友達から外す(SNS),defriend,remove someone as a friend online
2756,無効化する,deactivate,turn off or make inactive
2757,〜より速い,be faster than,exceed in speed
2758,読み違える,misread,read or interpret incorrectly
2759,持ち帰り料理,takeout,food prepared to be eaten elsewhere
2760,行動は言葉より雄弁,actions speak louder than words,what you do matters more than what you say
2761,断熱する,insulate,"protect from heat, cold, or impact"
2762,〜おめでとう,congratulations on,expression of praise for an achievement
2763,みんな気づいてるのに触れない問題,the elephant in the room,an obvious issue everyone avoids
2764,秩序を乱す,disrupt order,break the established peace or system
2765,〜を3倍にする,triple,make something three times as much
2766,気分の浮き沈み,mood swings,abrupt changes in emotional state
2767,〜を見直す,review,examine or evaluate something again
2768,微妙,iffy,uncertain
2769,今日は休みだ,I'm off today,I am not working today
2770,〜していただけたら嬉しいです,It would be lovely if,it would be wonderful if
2771,犠牲にする,victimize,single someone out for cruel treatment
2772,〜を叩き壊す,smash in,break something forcefully inward
2773,おしっこに行く(俗),take the leak,take a piss
2774,〜を終える,be done with,have finished or had enough
2775,ヘロインの禁断症状,heroin withdrawal,symptoms from quitting heroin
2776,同点にする,equalize,make the scores level
2777,何してたんだっけ?,what was I doing,what was I in the middle
2778,整理させて,let me get this straight,let me make sure I understand
2779,助言的な,advisory,offering advice
2780,〜のように思える,It seems to me that,in my view it seems
2781,ぬくもり,coziness,a feeling of warm comfort
2782,その土地固有の特徴,indigenous trait,a characteristic native to a group
2783,とことんやる,go the whole nine yards,do everything possible
2784,私の休みの日,my day off,a day when I don't have to work
2785,婚姻状況,marital status,whether one is married or not
2786,内輪の恥をさらす,air dirty laundry,reveal private disputes in public
2787,〜を圧縮する,compact,press something into a smaller space
2788,親友,bff,best friend forever
2789,〜が急落する,plunge,something drops sharply
2790,スターティングメンバー,starting lineup,the initial set of players in a game
2791,絶望して,in despair,in a state of hopelessness
2792,飲み物は各自持参で,BYOB,bring Your Own Beer/Beverage
2793,苗,seedling,a young plant grown from a seed
2794,こう言おうか,let me put it this way,let me phrase it like this
2795,〜に合う,suit,be acceptable or appropriate
2796,合意,agreement,an arrangement
2797,予告期間,notice period,the time given before leaving a job
2798,だから〜なのだ,which is why,and that is the reason
2799,まさにここで,right here,at this exact place
2800,すべてがうまくいきますように,may everything go well,a wish for things to succeed
2801,脳が腐ること(低俗コンテンツによる),brain rot,mental dulling from low-quality content
2802,もの悲しい,melancholic,feeling pensive sadness
2803,それは〜するために使われてきた,it has been used to,it has served the purpose
2804,素敵な一日を,I wish you a wonderful day,polite well-wishing
2805,試験勉強,exam preparation,getting ready for a test
2806,そういうもんだ,it is what it is,accept the situation as it stands
2807,信じられないほどすごいもの,unreal stuff,"amazing, almost unbelievable things"
2808,ただ,however what I can't understand is that,but the thing I fail to grasp
2809,偽アカウントに騙される,fall for a fake account,be deceived by a fraudulent account
2810,データを処理,data crunch,to process large amounts of data
2811,ボトルネック,bottleneck,a point of congestion or obstruction
2812,火に油を注ぐ,add fuel to the fire,make a bad situation worse
2813,私がしようとしているのは,what I'm trying to do,the goal I am attempting
2814,ワクチン接種をする,vaccinate,give a vaccine to protect against disease
2815,あとで〜の予定がある,have something coming up,have something scheduled soon
2816,騙し取る,swindle,cheat someone out of money
2817,(契約などを)結ぶ,enter into,begin or become involved in (an agreement)
2818,(人)を中に入れる,take into,lead someone into a place or situation
2819,大したことじゃない,NBD,short for 'no big deal'
2820,私の見る限り,As far as I can tell,from what I can see
2821,本来起こるはずだったこと,what was supposed to happen,the intended or expected outcome
2822,同じこと,the same thing,an identical matter
2823,〜くらい,or so,approximately
2824,健康診断,checkup,a routine medical examination
2825,〜を台無しにする,spoil,ruin something
2826,私に衝撃を与えたこと,something that shocked me,something that surprised me greatly
2827,恐ろしい教訓,terrifying reminder,a frightening thing that makes one recall a danger
2828,寝返りばかり打つ,toss and turn,"be unable to sleep, moving restlessly"
2829,びくっとする,flinch,make a quick involuntary movement
2830,除湿機,dehumidifier,a device that removes moisture from air
2831,些細なことで言い争う,bicker,argue about petty things
2832,〜を再表示する,refresh,give new energy
2833,入場料,admission fee,the cost of entry
2834,開封する,unbox,open packaging to reveal contents
2835,(機器を)接続する,hook up,connect
2836,終了する,terminate,bring to an end
2837,それで都合よければ,if that works for you,if it suits you
2838,何のために？,what for,for what purpose
2839,わざわざ〜する,go out of one's way,make a special effort
2840,落第する,flunk,fail an exam or course
2841,〜を寄付する,donate,give something to a cause or charity
2842,気分転換に環境を変える,get a change of scenery,go somewhere different for variety
2843,まぶた,eye lid,the fold of skin covering the eye
2844,嬉しい,chuffed,very pleased
2845,もう〜経つ？,has it been,has the time/state continued (since)
2846,報いが厳しく下ることを願う,hope the consequences hit hard,wish for severe repercussions
2847,私の知る限りでは違う,not that I know of,not as far as I'm aware
2848,路面標示,road markings,painted lines and signs on roads
2849,〜を〜として印象づける,frame as,present something in a particular way
2850,(権利などを)放棄する,waive,give up a right or requirement
2851,花火,firework,a device that explodes with light and sound
2852,友達のような敵,frenemy,a person who is both friend and rival
2853,解雇,layoff,dismissal from employment
2854,厳格な,stringent,strict and rigorously enforced
2855,一杯のお茶,cuppa,a cup of tea
2856,テンポの速い,fast paced,moving or changing quickly
2857,収益化する,monetize,earn revenue from something
2858,いつもより少し早く,a little earlier than usual,somewhat sooner than normal
2859,〜を放置したままにする,leave unsupervised,leave something without watching
2860,カーボンフットプリント,carbon footprint,the amount of CO2 a person or activity produces
2861,一石二鳥,kill two birds with one stone,achieve two goals at once
2862,半分にする,halve,divide into two equal parts
2863,執着する,obsess,be preoccupied
2864,〜を食い止める,stave off,delay or prevent something unwanted
2865,腐敗,spoilage,the process of going bad
2866,朝飯前,child's play,something very easy
2867,ほろ酔いの,tipsy,slightly drunk
2868,退屈で死にそう,bored out of my mind,extremely bored
2869,息が詰まる,choke breathing,have difficulty breathing
2870,走り書きする,scribble,write hastily
2871,チョコレート色,chocolate brown,a deep brown color like chocolate
2872,〜が不足している,lack,be without enough of something
2873,見た目ほど簡単じゃない,not as easy as it looks,harder than it appears
2874,スキルを高める,upskill,learn new skills to improve at work
2875,どうなるか見るのが待ちきれない,can't wait to see how it turns out,eager to know the result
2876,〜で覆われた,capped with,topped or finished
2877,〜を注ぐ,pour,make a liquid flow from a container
2878,一理ある,there's something to that,there's some truth
2879,〜に〜をふりかける,sprinkle into,scatter small amounts
2880,〜に反応する,react to,respond to something
2881,〜をインストールする,install,set up equipment or software for use
2882,何一つ貢献しない,make no contributions whatsoever,contribute nothing at all
2883,心から同情する,my heart goes out to,I deeply sympathize
2884,ソウルメイト,soulmate,a perfectly compatible partner
2885,(人)を喜ばせる,light up,make someone very happy
2886,〜分かるでしょ,if you know what I mean,you get the idea
2887,〜を渡る,cross,go across
2888,〜を日記に書く,journal,write something down in a journal
2889,たった一つも見当たらない,I can't see even a single,I cannot spot even one
2890,援助,assistance,help
2891,大切な人,the apple of my eye,someone you cherish
2892,かなり長い間,for quite a long time,for a considerably long period
2893,〜を賃貸借する,lease,rent property or equipment by contract
2894,〜を向ける,direct,aim or guide something
2895,ハンドル(車の),steering wheel,the wheel used to steer a vehicle
2896,〜を制限する,limit,set a restriction
2897,コンセント,electrical outlet,a socket for plugging in devices
2898,軽く食べる,grab a bite to eat,have a quick meal
2899,そう感じるのも無理はない,it's understandable to feel,it makes sense to feel
2900,交渉する,negotiate,discuss to reach an agreement
2901,情報多すぎ,TMI,too much information
2902,速やかに,speedily,quickly and without wasting time
2903,行進している,marching,"walking with rhythmic, regular steps"
2904,(衣服などを)身につける,wear,have on the body
2905,請負業者,contractor,a person or firm that does work under contract
2906,儲かる,lucrative,highly profitable
2907,〜を渡す,pass,hand over
2908,郵便受け,letterbox,a slot or box for mail
2909,いざという時,when push comes to shove,when it really matters
2910,私の知る限り,as far as I know,to my knowledge
2911,好むと好まざるとに関わらず,whether you like it or not,regardless of preference
2912,〜をひねる,twist,turn or bend something forcefully
2913,クリックベイト,clickbait,online content with misleading attractive titles
2914,〜なしでは何もできない,nothing can be done without,x is essential for everything
2915,机にかじりついている,glued to my desk,unable to leave my workspace
2916,二日酔いの,hungover,suffering from a hangover
2917,〜を作る,compose,create or write a piece
2918,やることがある,have something to do,have a task or plan to complete
2919,(その件で)君に同意する,be with you on,agree with you
2920,機能,function,the purpose or role
2921,〜のほかに,besides,in addition
2922,パッと思いつく,off the top of my head,without careful thought
2923,ご不明な点がございましたら,should you have any queries,if you have any questions
2924,〜を主催する,host,hold or organize an event
2925,這って出てくる,crawl out,move out slowly on hands and knees
2926,どもる,stammer,speak with hesitation
2927,アイデアを出し合う,brainstorm,throw out ideas together
2928,〜を十分速く処理する,process fast enough,handle something quickly enough
2929,免許,license,official permission
2930,救いの神,lifesaver,something or someone extremely helpful
2931,(人)に立ち向かう,confront,face someone in a hostile situation
2932,今回だけは,this is the only time,this is the sole occasion
2933,煽り,shitposting,deliberately low-quality online posting
2934,日本文学,japanese literature,the body of written works from Japan
2935,置き場所を忘れる,misplace,lose something temporarily
2936,それはともかく,be that as it may,even if that's true
2937,授ける,grant,give formally
2938,悪いことを予測する,predict the worst,foresee a negative outcome
2939,ひらめき,brainwave,a sudden bright idea
2940,(人)が慌てるのを見る,see panic,watch someone lose composure
2941,(婉曲)無職で,between jobs,currently unemployed
2942,最初は私も同じことを思った,I thought the same at first,I initially had the same thought
2943,〜をスタイリングする,style,design or arrange something's appearance
2944,(人)と(物事)について話す,talk to someone about,discuss with someone
2945,合法的な依存(嗜癖),legal addiction,a dependency on something that is legal
2946,〜を噛む,bite,use teeth to cut
2947,〜製,made in,produced or manufactured in (place)
2948,(方針などを)採用する,adopt,take up or formally accept
2949,これは終わらない,this never stops,this continues endlessly
2950,〜のうちのどれか一つ,any one of,any single member of a group
2951,発表する,announce,make publicly known
2952,絶滅する,go extinct,cease to exist as a species
2953,〜は〜にある,lie in,something rests or is rooted
2954,タフな人,a tough cookie,"a strong, resilient person"
2955,無駄足,a wild goose chase,a pointless pursuit
2956,慎重に振る舞う,walking on eggshells,being very careful around someone
2957,そんなことありえない,when pigs fly,something that will never happen
2958,結局のところ,at the end of the day,when everything is considered
2959,控えめに言って,to put it mildly,saying it gently
2960,率直に言って,to put it bluntly,speaking frankly
2961,言うまでもなく,needless to say,something the listener already knows
2962,激しく非難する,lash out,attack verbally or violently
2963,〜にもかかわらず,in spite of,even though something might have prevented it
2964,〜を代表して,on behalf of,as a representative
2965,〜を犠牲にして,at the expense of,while sacrificing
2966,〜と連携して,in conjunction with,together
2967,サボる,goof off,slack off
2968,ひと眠りする,catch some Z's,get some sleep
2969,ドタキャンする,flake out,fail to show up
2970,びっくりした,freaked out,shocked or panicked
2971,時差ボケ,jet-lagged,suffering from jet lag
2972,ごまかす,gloss over,treat superficially
2973,くどくどと言う,harp on,talk about repeatedly
2974,議論して解決する,hash out,discuss to resolve
2975,真剣に取り組む,knuckle down,buckle down
2976,考えるまでもないこと,a no-brainer,an obvious choice
2977,譲れない条件,a deal-breaker,an unacceptable condition
2978,〜することになっている,be supposed to,be expected or required to do something
2979,大げさに気を遣う,fuss over,pay excessive attention
2980,割り込む,butt in,interrupt rudely
2981,ほのめかす,drop a hint,give a subtle suggestion
2982,消えていく,fade away,gradually disappear
2983,もてあそぶ,toy with,consider casually
2984,罪悪感を抱かせる,guilt-trip,make someone feel guilty
2985,夜型の人,night owl,a person who stays up late
2986,頭がぼーっとする,brain fog,mental cloudiness
2987,蓄え,nest egg,savings set aside for the future
2988,読みだしたら止まらない本,page turner,a very engaging book
2989,転換点,tipping point,a critical moment of change
2990,頭脳流出,brain drain,loss of talented people to other places
2991,(最後の手段として)頼る,resort to,use as a last option
2992,引きこもりによる退屈,cabin fever,irritability from being confined indoors
2993,(配信などを)一気見する,binge-watch,watch many episodes in a row
2994,大惨事,dumpster fire,a complete disaster
2995,並行して,in parallel,simultaneously
2996,道を開く,pave the way,make progress possible
2997,言葉を飲み込む,bite your tongue,stop yourself from speaking
2998,意見の相違を認める,agree to disagree,accept difference of opinion
2999,一流の,top notch,of the highest quality
3000,遅れを取る,lag behind,fall behind in progress
