No.,日本語,単語・表現,英語の説明
2077,事実はこうだ,the fact is,introduce the plain truth of a matter
2078,〜の半分,half of,fifty percent
2079,一方では〜,on the one hand,on one side of the argument
2080,あなたの番,in your court,your turn to act
2081,考えてもみなかった,haven't thought about,haven't considered
2082,ケアを待つ,wait for some care,wait until care or attention is given
2083,パス,a pass,permission or skip
2084,平均以上の,over average,above the typical level
2085,〜の歴史の中で,in the history of,at any time in the history
2086,〜に夢中になる,be lost in,be deeply absorbed
2087,やっと誰かが言ってくれた,finally someone said it,at last someone stated the obvious truth
2088,少し早く,a bit early,slightly before the scheduled time
2089,もっと泣け(嘲り),cry more,stop complaining
2090,家で休む,rest at home,stay home and relax
2091,週末を過ごす,have a weekend,spend a weekend (often with adj)
2092,続けよう,let's keep going,let us continue
2093,さっき言ったように,as I was saying,to continue what I was saying
2094,できるだけ〜,as as possible,as X as possible
2095,疲れ果てている,be beat,be very tired
2096,もうすぐ着くよ,I'll be there soon,I will arrive shortly
2097,〜に任せる,leave it to,rely on someone to handle it
2098,私が頼んだら,if I ask,in the case that I request
2099,予定より遅れている,run behind,be late or delayed
2100,事例研究,case study,an in-depth analysis of a single subject
2101,失礼ながら,With all due respect,while respecting you
2102,これらのどちらでも,either of these,any one of these (two)
2103,それも違う,not that either,also not that one
2104,〜と同じくらい軽い,as light,as a lightly
2105,君がそう言うなら,whatever you say,"I'll agree, even if doubtful"
2106,全部はっきりしている,everything is clear,all is understood
2107,ずっと中にいた,I've been inside,I have been indoors
2108,一長一短,trade-off,a balance between competing factors
2109,〜歳のときに,at the age of,when one was a certain age
2110,赤字で,in the red,operating at a loss
2111,行き止まり,dead-end,no possibility of progress
2112,かなりの量の,quite a bit of,a fairly large amount
2113,心の奥では,in your heart,deep in your true feelings
2114,マン,man of the match,the best player of a game
2115,誰によって,by whom,by which person (formal question)
2116,本当に感じることができる,can literally feel,physically perceive (intensified)
2117,在庫切れ,stock out,run out of inventory
2118,散歩する,take walk,go for a walk
2119,支持する,be behind,support
2120,ここでは機能する,here it works,in this case it functions
2121,今のところは,as things stand,given the current situation
2122,何の意味がある？,what's the point,what's the purpose
2123,〜を夢見る,dream about,have a dream or aspiration regarding
2124,今にも,any minute now,expected to happen extremely soon
2125,睡眠が必要だ,need sleep,require rest
2126,思い切って〜する,bring myself to,force myself to do something hard
2127,明らかに,high-key,openly
2128,記憶で,by memory,without notes or aid
2129,どんな種類の,what type of,which kind
2130,〜に苦労する,have trouble,experience difficulty doing something
2131,〜するのに苦労する,have trouble doing,have difficulty doing
2132,自己申告する,self report,report information about oneself
2133,本来あるべき姿で,as it's supposed to,the way it should
2134,先に入る,go in ahead,go in before others
2135,実行する,carry out,perform a task or plan
2136,〜に注意を向ける,give attention to,focus
2137,無駄に待たされている,waiting around for nothing,idly waiting with no result
2138,〜なのも納得,it makes sense that,it's logical
2139,意味通じてれば,if that makes sense,if that's clear
2140,まとまりを保つ,hold together,keep united or intact
2141,気をしっかり保つ,hold it together,stay composed under stress
2142,日暮れ,night fall,the time when night begins
2143,無理に〜する,force yourself to do,make yourself do despite reluctance
2144,〜の何がダメ？,what's wrong with,what's the issue
2145,ぼんやり待っている,waiting around,passing time idly while waiting
2146,〜のあらゆる所から,from every corner of,from all parts of a place
2147,最高の痛み,best kind of pain,a pain that feels worth it
2148,〜について嘘をつく,lie about,tell falsehoods regarding
2149,問題は〜ということだ,the issue is that,the main problem
2150,残りの〜,rest of,the remaining part
2151,値切る,beat down,haggle
2152,結局〜になる,wind up doing,end up doing
2153,ただ敬意だけを示す,show nothing but respect,display only respect
2154,考え直す,have second thoughts,begin to doubt a decision
2155,私が話している相手,who I'm speaking to,the identity of the listener
2156,現場で,on site,at the location of work or an event
2157,〜が得意だ,be strong at,be skilled in a particular area
2158,〜する予定,I'm planning to,intending
2159,〜を当てにしすぎる,count too much on,rely excessively
2160,お前に関係ない,what's it to you,why is it your business
2161,機会を利用する,take opportunity,use a chance
2162,その意味では,in that sense,from that perspective
2163,〜の感覚,a sense of,a feeling or awareness of something
2164,〜するのに…かかる,it takes to,it requires X to do
2165,〜だったらなあ,I wish,I would like it to be (counterfactual)
2166,いずれにせよ,in any event,anyway
2167,共通の関心,common interest,a shared concern or hobby
2168,追加の手助け,extra help,additional assistance
2169,〜したくない,I'd hate to,I really wouldn't want
2170,本当のことを言うと,truth be told,honestly speaking
2171,法的措置に直面する,face legal action,be subject to a lawsuit
2172,ちょっと出よう,let's pop out,let's step out briefly
2173,ゴミみたいな振る舞いをする,acting like trash,behaving disgracefully
2174,ずっとひどい,so much worse,far worse than something else
2175,間違って,by mistake,unintentionally
2176,〜するのやめよう,let's not,I suggest we don't
2177,〜する価値がある,worth doing,worthwhile to do
2178,(予定が)かぶる,have a conflict,have a scheduling clash
2179,目が覚めるような出来事,a wake-up call,a warning that prompts change
2180,石のように硬い,rock hard,extremely hard
2181,担当者,the person in charge,the one responsible or in authority
2182,それでどうかな,how does that sound,what do you think
2183,まさにそうではない,not exactly,not quite
2184,どんな手を使っても,whatever it takes,no matter what's needed
2185,合計金額,total amount,the full sum
2186,主人公,main character,the central figure in a story
2187,などなど,and stuff,and other things
2188,とにかく,at any rate,in any case
2189,こういうもの,this stuff,this kind of thing
2190,何があっても,whatever you do,no matter what you do
2191,か何か,or whatever,or something similar
2192,サービス料,service charge,an extra fee for service
2193,やり遂げる,carry through,complete a task to the end
2194,すぐそこ,right around the corner,very near
2195,〜という段階で,at the stage where,at a point at which
2196,私の視点では,From my perspective,from my point of view
2197,〜の安らかな眠りを,rest in peace to,may they rest in peace
2198,どうしてそう思うの？,how do you figure,what makes you think
2199,何も〜と感じない,nothing feels,no feeling matches the description
2200,これは〜にとって大きな出来事だ,this is huge for,this is very significant
2201,良くなった？,have you gotten better,have you recovered or improved
2202,秘密の場所,secret area,a hidden or restricted zone
2203,しかし実際には,yet in reality,contrast appearance with the truth
2204,文字通りの意味は〜,literally means,the literal meaning
2205,個体数管理,population management,controlling the size of a population
2206,〜できればと思って,I'm hoping to,say you want and expect to do something
2207,安らかに死ぬ,die at peace,pass away peacefully
2208,〜しましょうか？,shall I,offer to do something or ask for direction
2209,別に最悪ってわけでもない,not the worst either,not the worst option either
2210,正しい形,right shape,the correct or ideal form
2211,〜を続けます,I'll carry on with,I will continue
2212,延長線上で,by extension,as a logical consequence
2213,頭がまだとらわれている,my mind still stuck,my thoughts are still fixated
2214,ご自由に〜していい,be welcome to do,be free or invited to do
2215,安定した好ゲーム,solid game,a consistently good performance
2216,〜してはいかがでしょう,Might I suggest,may I suggest (very polite)
2217,(画面が)グレーアウトする,gray out,become temporarily disabled or faded
2218,一方向に,in one direction,toward a single way
2219,(商品を)世に出す,ship it,release a product
2220,ビーチで,on the beach,located at or visiting the beach
2221,〜だと主張したい,I would argue that,I would maintain
2222,私の夢の中で,in my dream,in my imagination only
2223,なんて優しい,How sweet of you,what a kind gesture
2224,〜の間を行ったり来たり,back and forth between,moving repeatedly between two things
2225,〜してもらえると助かる,I'd appreciate it if,I'd be grateful if
2226,〜へ移行する,transition into,move into a new state
2227,〜を避ける,avoid doing,stay away from doing
2228,事故を引き起こす,cause an accident,bring about a crash or mishap
2229,全焼する,burn down,destroy by fire
2230,先ほど述べたように,as I mentioned earlier,as previously stated
2231,〜の間に隔たりがある,there's a gap between,there is a difference or space between
2232,〜として全く敬意が残っていない,zero respect left as,having no remaining respect
2233,温かい心,warm heart,a kind and caring nature
2234,予測できない要素,a wild card,an unpredictable factor
2235,ゴミを拾う,pick up trash,collect litter
2236,沈黙で返す,silence back,respond with silence
2237,更新(続報)を待つ,wait for update,await new information
2238,二度殺すこと(さらに傷つけること),killing twice,"harming a victim again, e.g. by mockery"
2239,思考停止,mental block,inability to think or remember
2240,外資の,foreign owned,owned by people or companies from abroad
2241,閉店日,closing day,the final day of business or an event
2242,私はそうは思いません,I would argue otherwise,I'd say the opposite
2243,それは証明されている,it's been proven,it has been demonstrated to be true
2244,隠れた実力者,a dark horse,an unknown competitor with hidden ability
2245,有名になる,get fame,become famous
2246,被害者ぶる,play the victim,pretend to be a victim to gain sympathy
2247,闘志,fighting spirit,"a determined, never-give-up attitude"
2248,大一番の試合,massive match,a very important or large-scale game
2249,私の理解では〜だ,my understanding is that,I believe / I assume
2250,需要と供給,supply and demand,the relation between availability and need
2251,長引かせる,drag out,make something take longer
2252,〜の様子からして,judging by the way,based on the manner
2253,時が飛ぶように過ぎた,time has flown by,time has passed very quickly
2254,〜のように感じる,It strikes me as,it appears to me
2255,とんでもない自信,wild level of confidence,an extreme amount of self-assurance
2256,日本の精神,japanese spirit,the traditional spirit or mindset of Japan
2257,共感できる,can relate to,be able to identify
2258,破り捨てる,rip up,tear into pieces
2259,問題はね,the trouble is,the problem
2260,疲れ果てた,worn out,"extremely tired, or damaged from long use"
2261,可能性ゼロ,zero chance,no possibility at all
2262,〜のことで熱くなる,get heated over,become angry or worked up
2263,それは〜を思い出させる,it reminds me of,it makes me think
2264,血流,blood flow,the circulation of blood through the body
2265,全ては〜次第だ,everything depends on,the outcome is determined
2266,〜を進める,progress with,make headway on a task
2267,扱使う人,slave driver,a person who makes others work very hard
2268,期待が高い,expectations are high,much is anticipated
2269,情報を処理する,process info,take in and handle information
2270,睡眠スケジュール,sleep schedule,one's regular pattern of sleeping
2271,〜の余波で,in the wake of,as a result
2272,早くにピークを迎える,peak early,reach the best point too soon
2273,対等な対話をする,have an equal dialogue,converse on equal terms
2274,〜についての意見,thoughts on,an opinion about something
2275,混血の,mixed-race,having parents of different races
2276,〜に注目する,fix on,focus attention
2277,私は経験したことがない,I haven't experienced,I have not gone through (something)
2278,完全には納得していない,I'm not entirely convinced,I have doubts
2279,絶好の機会,golden opportunity,"an excellent, rare chance"
2280,問題をずらす,shift the issue,redirect the topic of discussion
2281,やっぱりね,that figures,that makes sense
2282,強く信じる,strongly believe,have a firm conviction
2283,一日を台無しにする,ruin my day,spoil my whole day
2284,好材料,green flag,a positive sign in a relationship
2285,試合終了間際,dying minute,the very last moments of a match
2286,びっくりするよ,you'd be surprised,it would surprise you
2287,営業利益,operating profit,profit from core business operations
2288,〜すると約束,promise to,commit to do
2289,かなり印象的,Rather impressive,fairly impressive
2290,〜がなかったら,if it weren't for,say something happened only because of X
2291,任務完了,mission accomplished,the task has been successfully completed
2292,ぼったくり,rip-off,an overpriced product
2293,胸が痛む,it breaks my heart,it makes me very sad
2294,落ち目の,washed up,no longer successful or relevant
2295,〜したいと思っている,hoping to,wishing or planning
2296,挑発的な口論,trash talk,insulting talk between competitors
2297,配送先住所,delivery address,the location where goods are sent
2298,地域紛争,regional conflict,a dispute confined to a region
2299,お役所仕事,red tape,excessive bureaucratic procedures
2300,ちょっとだけ,for a sec,for a short moment
2301,ディフェンスライン,defensive line,the players forming the defense
2302,ラッシュアワー,rush hour,the busiest travel time of day
2303,〜する傾向がある,have a tendency to,be inclined to do something
2304,めかしこむ,doll up,dress up nicely
2305,自己認識,self awareness,conscious knowledge of one's own character
2306,〜であることを考えると,considering that,taking into account
2307,段階的に導入する,phase in,introduce gradually
2308,時が経つのは早い,How time flies,time passes quickly
2309,しんと静まり返った,dead silent,completely quiet
2310,(話の輪に)入れておく,keep in the loop,keep someone informed
2311,多分,odds are,say something is likely to happen
2312,〜のせいだ,be to blame,be responsible for something bad
2313,心配している,be worried,feel anxious or concerned
2314,かがむ,bend over,lean the upper body forward and down
2315,どうしてここに？,what brings you here,why are you here
2316,現状では,as it stands,given the current situation
2317,彼らに代わって謝る,sorry on their behalf,apologize in place of someone else
2318,うっかり漏らす,let slip,reveal accidentally
2319,対抗策,counter strategy,a plan to neutralize an opponent
2320,コーヒー飲みに行く,grab a coffee,go to get a coffee together
2321,既存大手メディア,legacy media,traditional news outlets
2322,〜のサイクルに入り込んで,in a cycle of,trapped in a repeating pattern
2323,印象を残す,leave an impression,be memorable
2324,家でまったりする,chill at home,relax at home casually
2325,ホームレスの人,homeless person,someone without a home
2326,〜の可能性,the possibility of,the chance that something may happen
2327,上昇相場,bull market,a rising market
2328,自分にご褒美をあげる,reward myself,give myself a treat for an accomplishment
2329,巻き込む,rope into,persuade or trick
2330,高潔な人,noble person,a person of high moral character or rank
2331,同じ時間軸で,on the same timeline,progressing at the same pace or period
2332,ペナルティスポット,penalty spot,the mark from which a penalty is taken
2333,〜と仮定すれば,suppose that,assuming
2334,土砂降りに降る,rain cats and dogs,rain very heavily
2335,なかなか素晴らしい,Quite remarkable,really impressive (UK)
2336,〜してもらえたらと,I was wondering if,I'd like to ask if
2337,缶切り,can opener,a tool for opening cans
2338,(点数などを)積み上げる,rack up,accumulate a large amount
2339,フィート単位の高さ,ft height,height measured in feet
2340,大掃除,spring cleaning,thorough cleaning of a home
2341,混乱をもたらす,bring chaos,cause disorder and confusion
2342,神のご加護を,god bless,may God protect (you)
2343,気を悪くする,get offended,feel hurt or insulted
2344,〜について噂話をする,gossip about,talk maliciously about others
2345,〜に反対している,be opposed to,be against
2346,度肝を抜くような,mind blowing,extremely impressive or astonishing
2347,クタクタ,be wiped out,be exhausted
2348,最近〜にハマっている,I've been obsessed with,I have been fixated on lately
2349,リピート再生で,on repeat,playing repeatedly
2350,上層階,upper deck,the higher level of a vehicle or ship
2351,くそ,bloody hell,damn it
2352,〜にハマって熱く語る,geek out over,show intense enthusiasm for a topic
2353,〜に押し込む,squeeze into,fit into a tight space
2354,軽食,quick bite,a small or fast meal
2355,共感する,have empathy,understand and share others' feelings
2356,胃の不調,upset stomach,discomfort or nausea in the stomach
2357,普通の人々,ordinary folks,"everyday, average people"
2358,すでに〜しているように見える,is already seemingly ing,appears to already be doing
2359,我慢の限界,last straw,the final cause of frustration
2360,我慢の限界,the last straw,the final irritation that causes a reaction
2361,音声をオフにして,audio silent,with audio muted
2362,異議はない,have no objections,raise no opposition
2363,あまり知られていない,lesser known,not as famous or familiar
2364,衝撃を受けた,it blew my mind,it astonished me
2365,便座,toilet seat,the seat of a toilet
2366,めっちゃ楽しい(スラング),hella fun,very fun
2367,とても楽しい,Most enjoyable,very enjoyable (UK elegant)
2368,壮大な旅,epic journey,a long and remarkable trip
2369,細かく切る,chop up,cut into small pieces
2370,接着剤,adhesive,a substance used to stick things together
2371,まごつく,fumble,handle clumsily
2372,思春期,adolescence,the transitional stage to adulthood
2373,エプロン,apron,a protective garment worn over clothes
2374,近道,shortcut,a quicker route
2375,クスクス笑う,giggle,laugh in a silly way
2376,じっくり考える,ponder,think deeply
2377,最高にキマってる,slay,do something exceptionally well
2378,リサイクルする,recycle,convert waste into reusable material
2379,好き嫌いが激しい,picky,very selective
2380,クラスメート,classmate,a person in the same class
2381,境界線,borderline,on the boundary
2382,悪意,malice,intent to do evil or harm
2383,シラバス,syllabus,an outline of a course's topics
2384,嘲笑する,ridicule,mock or make fun of cruelly
2385,掛け金,latch,a fastening for a door
2386,めちゃくちゃ忙しい,hectic,chaotic and busy
2387,恨み,grudge,persistent resentment
2388,指数関数的な,exponential,growing at increasing rate
2389,最適化する,optimize,make as effective as possible
2390,怪しい,dodgy,dubious
2391,持ち帰り,takeaway,takeout food (UK)
2392,死ぬ,perish,die or be destroyed
2393,蝶番,hinge,a turning point
2394,停戦,ceasefire,an agreement to stop fighting
2395,ぐずぐずする,linger,stay longer
2396,停滞した,stagnant,not flowing or changing
2397,優先する,prioritize,treat as more important
2398,口論,quarrel,an angry argument or disagreement
2399,偽善的な,hypocritical,saying one thing but doing another
2400,思いやりのある,considerate,thinking of others
2401,おおよその数字,ballpark,an approximate range or figure
2402,肩をすくめる,shrug,raise the shoulders to show indifference
2403,毒素,toxin,a poisonous substance
2404,水平に,horizontally,in a side-to-side direction
2405,(費用・損失などを)被る,incur,bring upon oneself (cost or trouble)
2406,陰影,shading,the use of shadow or darkening
2407,食い違い,discrepancy,an inconsistency
2408,熟達した,proficient,competent or skilled
2409,真似る,imitate,copy someone's behavior or speech
2410,高級な,upscale,improve quality
2411,総まとめ,roundup,a summary of news or events
2412,怪しい,fishy,suspicious
2413,交換可能な,interchangeable,able to be used in place of each other
2414,詰まった,clogged,blocked so nothing can pass
2415,障害,snag,a small obstacle
2416,むせび泣く,sob,cry loudly while gasping for breath
2417,怪我をさせる,injure,cause physical harm
2418,カスタマイズする,customize,modify to suit a person's needs
2419,うろうろする,hover,linger
2420,コツ,knack,a clever talent
2421,〜気取り,wannabe,a person who tries to be like someone else
2422,懐かしいもの,throwback,something from the past brought up again
2423,悲観的な,pessimistic,expecting the worst
2424,農薬,pesticide,a chemical used to kill pests
2425,息を吸う,inhale,take air or smoke into the lungs
2426,熱心に,enthusiastically,with great excitement and interest
2427,抜け穴,loophole,a gap in rules
2428,前提条件,prerequisite,something required beforehand
2429,解体する,dismantle,take apart or abolish
2430,上昇する,ascend,move upward
2431,ファイアウォール,firewall,a security system controlling network traffic
2432,古臭い,corny,old-fashioned
2433,ウナギ,eel,a long snake-like fish
2434,怪しい,sketchy,dubious
2435,狂人,maniac,crazy or fanatical person
2436,温度計,thermometer,an instrument for measuring temperature
2437,舗装する,pave,cover a road or path with a hard surface
2438,ドタキャンする人,flake,someone who flakes out on plans
2439,未処理の山,backlog,a build-up of unfinished work
2440,再利用可能な,reusable,able to be used more than once
2441,迂回路,detour,an alternative route around something
2442,残念,bummer,that's too bad
2443,新人,newbie,a newcomer or beginner
2444,特典,perk,an extra benefit or advantage
2445,後部座席,backseat,a non-driver who tells the driver what to do
2446,血栓,clot,a thick lump formed when blood coagulates
2447,小言を言う,nag,complain or remind repeatedly
2448,要点,gist,the main point
2449,(プロセスを)効率化する,streamline,make more efficient
2450,国外追放する,deport,expel from a country
2451,薄める,dilute,make weaker by adding water
2452,チューリップ,tulip,a brightly-colored spring flower
2453,そらす,deflect,cause to change direction
2454,最終局面,endgame,"the final stage, when the outcome is decided"
2455,制御不能な,uncontrollable,impossible to control
2456,増幅する,amplify,increase the volume or effect
2457,社交する,socialize,interact with others socially
2458,推進する,propel,drive or push forward
2459,雑用,chore,a routine domestic task
2460,燃え尽き症候群,burnout,exhaustion from prolonged stress
2461,買収,buyout,purchase of a company or stake
2462,まぐれ,fluke,a lucky accident
2463,かすんだ,hazy,unclear
2464,歓迎されない,unwelcome,not invited or wanted
2465,体調が悪い,unwell,not in good health
2466,落ち込んでる,bummed,feeling down
2467,比類のない,unmatched,having no equal
2468,デオドラント,deodorant,a product that prevents body odor
2469,中断,interruptions,breaks that disrupt continuity
2470,知らずに,unknowingly,without being aware
2471,とがった,pointy,having a sharp point
2472,中止する,discontinue,stop producing or doing
2473,ヒューマノイド,humanoid,having a human form
2474,恐怖症,phobia,an extreme or irrational fear
2475,スポーツ好きの,sporty,fond of or good at sport
2476,職人技,craftsmanship,skill in creating things by hand
2477,でたらめ,bollocks,nonsense
2478,ニュアンス,nuance,a subtle difference or shade of meaning
2479,切り替える,toggle,switch between two states
2480,歪める,distort,twist out of shape
2481,イライラさせる,irritate,annoy
2482,直感,hunch,intuitive feeling
2483,間仕切りの個室,cubicle,a small partitioned space
2484,悪化する,worsen,make or become worse
2485,用事,errand,a short trip to do a small task
2486,美化する,glorify,give praise or higher honor
2487,ゆったりとした,leisurely,unhurried and relaxed
2488,ニヤつく,smirk,smile smugly or knowingly
2489,気難しい,fussy,picky
2490,ぐにゃぐにゃの,squishy,soft and easily squashed
2491,近代化する,modernize,make more modern
2492,バッタ,grasshopper,a leaping insect with long hind legs
2493,ジェイルブレイク,jailbreak,remove software restrictions on a device
2494,空気がこもった,stuffy,lacking fresh air
2495,ジャグリング,juggle,balance multiple tasks
2496,鳥肌,goosebumps,raised bumps on skin from emotion
2497,膨らませる,inflate,fill with air
2498,ちょっとした事故,mishap,an unlucky accident
2499,塩味の,savory,salty or spicy rather than sweet
2500,授業課題,coursework,work done during a course of study
