No.,日本語,単語・表現,英語の説明
776,究極の,ultimate,the best or most extreme
777,帽子,hat,a covering for the head
778,リラックスする,chill,relax and take things easy
779,つかむ,grab,take quickly
780,破壊する,destroy,put an end
781,盲目の,blind,unable to see
782,生き延びる,survive,continue to live or exist
783,誓う,swear,promise strongly
784,正確な,exact,precise
785,疑う,suspect,have a hunch
786,返信する,reply,respond to a message
787,車輪,wheel,a circular object that turns
788,含む,contain,include or hold within
789,肩,shoulder,the joint connecting the arm to the body
790,予約,appointment,a scheduled meeting
791,祝う,celebrate,honor or commemorate
792,狩りをする,hunt,search for or pursue
793,普遍的な,universal,applicable to all cases
794,誇り,pride,a feeling of satisfaction or self-respect
795,幹線道路,highway,"a main public road, esp. one connecting cities"
796,話し手,speaker,a person who is speaking
797,一貫した,consistent,always the same
798,その間に,meanwhile,at the same time
799,急ぐ,rush,hurry
800,手品,trick,a clever method or technique
801,(時間が)きっちり,sharp,precisely on time
802,実用的な,practical,concerned with actual use
803,指,finger,one of the digits on the hand
804,守る,defend,protect from attack
805,隙間,gap,an opening or disparity
806,釣り,fishing,the activity of catching fish
807,混乱した,confused,unable to think clearly
808,鏡,mirror,a reflective surface
809,まもなく,shortly,in a short time
810,議論する,argue,exchange opposing views
811,ひどい,awful,extremely bad or unpleasant
812,ばかげた,ridiculous,absurd
813,インフラ,infrastructure,basic systems supporting society
814,移行,transition,the process of changing
815,確立する,establish,set up firmly
816,沈黙,silence,the absence of sound
817,敏感な,sensitive,easily affected or hurt
818,腰,hip,the part of the body where the leg
819,他の場所で,elsewhere,in or to another place
820,侮辱的な,offensive,causing anger or hurt
821,厚い,thick,having a large distance between sides
822,好奇心旺盛な,curious,eager to know
823,不安,anxiety,feeling of worry
824,ボーナス,bonus,an extra payment or perk
825,選ぶ,select,carefully choose
826,励ます,encourage,give support and confidence
827,ペット,pet,an animal kept for companionship
828,覆い,covering,something that covers or protects
829,到着,arrival,reaching a place
830,意識,awareness,knowledge of something
831,恐ろしい,horrible,very unpleasant
832,理想的な,ideal,perfect
833,気分,mood,a state of mind or feeling
834,タグ,tag,label or mark
835,露出,exposure,being subjected to something
836,影,shadow,a dark shape from blocked light
837,テープ,tape,a strip of sticky material
838,コンクリート,concrete,a hard building material
839,幸福,happiness,the state of being happy
840,糸,thread,a thin strand used for sewing
841,約束,commitment,a promise
842,明かす,reveal,make known
843,自信のある,confident,self-assured
844,生産量,output,the amount produced
845,捕らえる,capture,catch
846,〜する誰でも,whoever,any person who
847,助ける,assist,help
848,音信不通になる,ghost,cut off contact suddenly
849,建築,architecture,the art of designing buildings
850,ベルト,belt,a strap worn around the waist
851,優先順位,priority,something important that must be dealt with first
852,昇進,promotion,advancement in rank
853,盗む,steal,take without permission
854,遠隔の,remote,far away
855,ほこり,dust,fine dry particles of matter
856,劇的な,dramatic,sudden and striking
857,断る,decline,politely refuse
858,まともな,decent,satisfactory
859,結論,conclusion,the end or final decision
860,思い出す,recall,bring something back to mind
861,ひも,string,a series
862,確認する,confirm,verify or make certain
863,得る,obtain,acquire or get
864,祈る,pray,speak to a deity
865,エリート,elite,the most powerful or skilled group
866,有機の,organic,produced without chemicals
867,鍋,pot,a deep round container for cooking or plants
868,反映する,reflect,show
869,悩ます,bother,annoy
870,放送する,broadcast,transmit on TV/radio
871,大失敗,disaster,a complete failure or calamity
872,めちゃくちゃ(強調),freaking,darn (mild intensifier)
873,市民,citizen,a legally recognized national
874,殻,shell,the hard outer covering
875,狭い,narrow,small in width
876,関連付ける,associate,connect mentally
877,入口,entrance,a way
878,ばか,idiot,a stupid or foolish person
879,ばかげた,silly,foolish or lacking seriousness
880,属する,belong,be a member
881,妥当な,valid,well-founded
882,企業,enterprise,a business or initiative
883,急速な,rapid,happening quickly
884,実験する,experiment,to try something new to see what happens
885,ふさわしい,suitable,right or appropriate for a purpose
886,発見,findings,results of an investigation or study
887,草,grass,green plants growing in lawns and fields
888,本物の,genuine,real
889,後悔する,regret,feel sorry for an action
890,思い出させる,remind,make someone remember
891,日課,routine,a regular sequence of actions
892,ありがとう（超カジュアル）,ta,thanks (very casual UK)
893,主導権,initiative,ability to act without being told
894,達成,achievement,something accomplished
895,風景,landscape,all the features of a land area
896,割引,discount,a reduction in price
897,例外,exception,something different from the rule
898,凝った,fancy,elaborate
899,豪華な,gorgeous,very beautiful
900,感謝している,grateful,feeling thankful
901,嫌な奴,jerk,a rude or annoying person
902,伸ばす,stretch,extend
903,ノックする,knock,tap
904,終わった,screwed,in serious trouble
905,最高,epic,amazing on a grand scale
906,除去,removal,the act of taking something away
907,裂く,tear,rip
908,出口,exit,the way out of a place
909,揺れる,swing,sway
910,原則,principle,a fundamental rule or belief
911,洪水,flood,an overflow of water
912,とても美味しい,delicious,having a very pleasant taste
913,勇敢な,brave,showing courage
914,密度,density,the degree of compactness
915,補償,compensation,payment for loss or damages
916,意図,intention,an aim or plan
917,育む,foster,encourage development
918,報酬,reward,give in recognition of effort
919,振る,shake,move quickly back and forth
920,木製の,wooden,made of wood
921,初歩の,elementary,basic
922,フィードバック,feedback,comments on something you've done
923,明らかな,apparent,clearly visible or understood
924,必死の,desperate,having no hope
925,多様性,diversity,variety
926,人類,humanity,human beings as a whole
927,進行中の,ongoing,continuing to happen
928,紫,purple,a color between red and blue
929,プレゼン,presentation,a talk that explains something
930,動的な,dynamic,active
931,探検する,explore,investigate
932,台無しにする,ruin,spoil completely
933,気がかりな,concerning,worrying
934,差別,discrimination,unfair treatment based on category
935,映像,footage,filmed video material
936,深刻な,grave,serious
937,定義する,define,state the exact meaning
938,奴隷,slave,a person owned and forced to work
939,議題,agenda,list of items to discuss
940,暗闇,darkness,the absence of light
941,ハードウェア,hardware,"tools, machinery, or computer components"
942,招待する,invite,ask someone to come or take part
943,可能にする,enable,make possible
944,出来事,affair,an event or matter
945,枠組み,framework,a basic structure
946,回復する,recover,get well again
947,気まずい,awkward,uncomfortable
948,信頼できる,reliable,dependable
949,退屈な人,drag,a boring or tedious thing
950,馬鹿,fool,a silly or foolish person
951,話の輪,loop,communication chain
952,外国人,alien,a foreigner
953,磨く,polish,make shiny by rubbing
954,知的な,intelligent,having mental ability
955,ライフスタイル,lifestyle,a way of living
956,教育を受けた,educated,having received education
957,極めて重要な,crucial,extremely important
958,成熟した,mature,developed
959,依存している,dependent,needing support
960,めっちゃ,bloody,damn (UK intensifier)
961,滑る,slip,slide
962,知らない人,stranger,a person you don't know
963,確率,odds,probability of happening
964,ろ過する,filter,remove unwanted parts
965,穏やかな,peaceful,calm and free from disturbance
966,ハイライト,highlights,the most interesting parts of something
967,ボランティアをする,volunteer,offer help without payment
968,意図,intent,a deliberate aim or purpose
969,見事な,stunning,extremely impressive or beautiful
970,利益率,margin,the edge or profit difference
971,とても面白い,hilarious,extremely funny
972,説得する,convince,make someone believe or agree
973,追求する,pursue,follow or chase after
974,大胆な,bold,brave
975,出会い,encounter,an unexpected meeting
976,呼吸する,breathe,take air in and out
977,慌てる,panic,feel sudden uncontrollable fear
978,論争,controversy,disagreement or dispute
979,要件,requirement,something needed or demanded
980,範囲,spectrum,a full range of related qualities or ideas
981,うんち,poop,feces
982,口の,oral,relating to the mouth or spoken
983,楽器,instrument,"a tool, esp. for music or precision work"
984,巨大な,enormous,extremely large in size or amount
985,引き金になる,trigger,cause a reaction
986,避難所,shelter,a place of safety
987,パイプ,pipe,a tube
988,ガレージ,garage,a building for parking or repairing cars
989,多様な,diverse,varied
990,トンネル,tunnel,an underground passage
991,人工の,artificial,made by humans
992,共感する,relate,to connect with or understand someone's feelings or experience
993,習慣,habit,"a regular, often unconscious behavior"
994,神聖な,sacred,holy
995,経費,expense,the cost of something
996,設定,settings,options to control the app/device
997,文句を言う,complain,express dissatisfaction
998,規律,discipline,self-control
999,重荷,burden,a heavy load or responsibility
1000,資産,asset,a valuable thing or quality
